case,backend,font_size,subpixel,fg,bg,origin,tileink_ink,reference_ink,ink_ratio,mae_luma,rmse_luma,mae_rgb,max_rgb,fringe_delta,tileink_bbox,reference_bbox
rgb_black_on_white_16px_x0_y0,cpu,16.0,rgb,#000000ff,#ffffffff,0.000:0.000,724.476677,604.557893,1.198358,0.00276010,0.02442713,0.00543448,208,-0.06211071,24:24:249:36,25:29:250:41
rgb_black_on_white_16px_x1of3_yhalf,cpu,16.0,rgb,#000000ff,#ffffffff,0.333:0.500,740.990202,601.426489,1.232054,0.00512539,0.04308411,0.00730441,230,-0.08896708,24:23:249:36,25:30:250:42
rgb_white_on_black_16px_x0_y0,cpu,16.0,rgb,#ffffffff,#000000ff,0.000:0.000,846.826874,814.344553,1.039888,0.00188795,0.01834112,0.00514747,235,-0.06614297,24:24:249:36,25:29:250:41
rgb_white_on_black_16px_x1of3_yhalf,cpu,16.0,rgb,#ffffffff,#000000ff,0.333:0.500,888.337122,818.179624,1.085748,0.00511923,0.04502879,0.00734051,250,-0.06793381,24:23:249:36,25:30:250:42
rgb_black_on_gray_16px_x0_y0,cpu,16.0,rgb,#000000ff,#e0e0e0ff,0.000:0.000,500.239308,531.103122,0.941887,0.00172211,0.01564431,0.00439658,190,-0.04091345,24:24:249:36,25:29:250:41
rgb_black_on_gray_16px_x1of3_yhalf,cpu,16.0,rgb,#000000ff,#e0e0e0ff,0.333:0.500,488.438826,528.296515,0.924554,0.00416941,0.03576468,0.00608937,213,-0.07714056,24:23:249:36,25:30:250:42
rgb_white_on_gray_16px_x0_y0,cpu,16.0,rgb,#ffffffff,#303030ff,0.000:0.000,644.437856,661.097227,0.974800,0.00144942,0.01366119,0.00415486,191,-0.04501269,24:24:249:36,25:29:250:41
rgb_white_on_gray_16px_x1of3_yhalf,cpu,16.0,rgb,#ffffffff,#303030ff,0.333:0.500,670.505675,664.212460,1.009475,0.00414766,0.03601339,0.00596564,202,-0.05191278,24:23:249:36,25:30:250:42
bgr_black_on_white_16px_x0_y0,cpu,16.0,bgr,#000000ff,#ffffffff,0.000:0.000,724.074426,604.994509,1.196828,0.00270488,0.02385439,0.00543422,208,-0.06210473,24:24:249:36,25:29:250:41
bgr_black_on_white_16px_x1of3_yhalf,cpu,16.0,bgr,#000000ff,#ffffffff,0.333:0.500,740.292056,601.768955,1.230193,0.00474638,0.04071288,0.00730441,230,-0.08896708,24:23:249:36,25:30:250:42
bgr_white_on_black_16px_x0_y0,cpu,16.0,bgr,#ffffffff,#000000ff,0.000:0.000,848.267213,813.393687,1.042874,0.00175275,0.01758580,0.00514747,235,-0.06614297,24:24:249:36,25:29:250:41
bgr_white_on_black_16px_x1of3_yhalf,cpu,16.0,bgr,#ffffffff,#000000ff,0.333:0.500,887.803602,818.085474,1.085221,0.00445049,0.04184716,0.00734051,250,-0.06793381,24:23:249:36,25:30:250:42
bgr_black_on_gray_16px_x0_y0,cpu,16.0,bgr,#000000ff,#e0e0e0ff,0.000:0.000,499.403947,531.503950,0.939605,0.00156729,0.01424858,0.00439658,190,-0.04091943,24:24:249:36,25:29:250:41
bgr_black_on_gray_16px_x1of3_yhalf,cpu,16.0,bgr,#000000ff,#e0e0e0ff,0.333:0.500,487.548525,528.596035,0.922346,0.00371089,0.03351838,0.00608937,213,-0.07714056,24:23:249:36,25:30:250:42
bgr_white_on_gray_16px_x0_y0,cpu,16.0,bgr,#ffffffff,#303030ff,0.000:0.000,645.804416,660.324201,0.978011,0.00129698,0.01253828,0.00415486,191,-0.04501269,24:24:249:36,25:29:250:41
bgr_white_on_gray_16px_x1of3_yhalf,cpu,16.0,bgr,#ffffffff,#303030ff,0.333:0.500,669.980964,664.136478,1.008800,0.00365923,0.03347084,0.00596564,202,-0.05191278,24:23:249:36,25:30:250:42
gray_black_on_white_16px_x0_y0,cpu,16.0,gray,#000000ff,#ffffffff,0.000:0.000,726.784314,596.658824,1.218090,0.00258060,0.02303224,0.00258060,86,0.00000000,24:24:249:36,25:29:250:41
gray_black_on_white_16px_x1of3_yhalf,cpu,16.0,gray,#000000ff,#ffffffff,0.333:0.500,742.109804,594.827451,1.247605,0.00497567,0.04239939,0.00497567,169,0.00000000,24:23:249:36,25:30:250:42
gray_white_on_black_16px_x0_y0,cpu,16.0,gray,#ffffffff,#000000ff,0.000:0.000,851.992157,822.360784,1.036032,0.00101739,0.01192737,0.00101739,102,0.00000000,24:24:249:36,25:29:250:41
gray_white_on_black_16px_x1of3_yhalf,cpu,16.0,gray,#ffffffff,#000000ff,0.333:0.500,891.141176,819.976471,1.086789,0.00460201,0.04383484,0.00460201,214,0.00000000,24:23:249:36,25:30:250:42
gray_black_on_gray_16px_x0_y0,cpu,16.0,gray,#000000ff,#e0e0e0ff,0.000:0.000,500.368627,523.850980,0.955174,0.00113900,0.01130224,0.00113900,67,0.00000000,24:24:249:36,25:29:250:41
gray_black_on_gray_16px_x1of3_yhalf,cpu,16.0,gray,#000000ff,#e0e0e0ff,0.333:0.500,487.768627,522.282353,0.933917,0.00377233,0.03422252,0.00377233,166,0.00000000,24:23:249:36,25:30:250:42
gray_white_on_gray_16px_x0_y0,cpu,16.0,gray,#ffffffff,#303030ff,0.000:0.000,648.301961,667.203922,0.971670,0.00080623,0.00860991,0.00080623,63,0.00000000,24:24:249:36,25:29:250:41
gray_white_on_gray_16px_x1of3_yhalf,cpu,16.0,gray,#ffffffff,#303030ff,0.333:0.500,672.219608,665.196078,1.010559,0.00371966,0.03479820,0.00371966,167,0.00000000,24:23:249:36,25:30:250:42
rgb_black_on_white_24px_x0_y0,cpu,24.0,rgb,#000000ff,#ffffffff,0.000:0.000,1582.057449,1403.965660,1.126849,0.01807019,0.10208086,0.01647536,255,-0.04731015,24:24:361:42,25:32:363:50
rgb_black_on_white_24px_x1of3_yhalf,cpu,24.0,rgb,#000000ff,#ffffffff,0.333:0.500,1650.908366,1401.783478,1.177720,0.00829662,0.05260388,0.01209258,227,-0.07168645,24:23:361:42,26:32:363:50
rgb_white_on_black_24px_x0_y0,cpu,24.0,rgb,#ffffffff,#000000ff,0.000:0.000,1782.588026,1735.606881,1.027069,0.01822589,0.10746773,0.01658713,255,-0.04166322,24:24:361:42,25:32:363:50
rgb_white_on_black_24px_x1of3_yhalf,cpu,24.0,rgb,#ffffffff,#000000ff,0.333:0.500,1868.653467,1740.068783,1.073896,0.00737462,0.05205632,0.01149724,249,-0.05916459,24:23:361:42,26:32:363:50
rgb_black_on_gray_24px_x0_y0,cpu,24.0,rgb,#000000ff,#e0e0e0ff,0.000:0.000,1180.491196,1233.295437,0.957184,0.01595962,0.09091627,0.01442473,224,-0.03484296,24:24:361:42,25:32:363:50
rgb_black_on_gray_24px_x1of3_yhalf,cpu,24.0,rgb,#000000ff,#e0e0e0ff,0.333:0.500,1197.737453,1231.394499,0.972668,0.00648898,0.04391740,0.01009698,202,-0.06176857,24:23:361:42,26:32:363:50
rgb_white_on_gray_24px_x0_y0,cpu,24.0,rgb,#ffffffff,#303030ff,0.000:0.000,1385.827647,1408.995300,0.983557,0.01485570,0.08737412,0.01351841,207,-0.03003843,24:24:361:42,25:32:363:50
rgb_white_on_gray_24px_x1of3_yhalf,cpu,24.0,rgb,#ffffffff,#303030ff,0.333:0.500,1434.782925,1412.617220,1.015691,0.00593492,0.04112447,0.00929450,201,-0.04570635,24:23:361:42,26:32:363:50
bgr_black_on_white_24px_x0_y0,cpu,24.0,bgr,#000000ff,#ffffffff,0.000:0.000,1582.753393,1404.829533,1.126652,0.01542780,0.08904054,0.01647536,255,-0.04731015,24:24:361:42,25:32:363:50
bgr_black_on_white_24px_x1of3_yhalf,cpu,24.0,bgr,#000000ff,#ffffffff,0.333:0.500,1649.220813,1401.584716,1.176683,0.00794308,0.05100815,0.01209258,227,-0.07168645,24:23:361:42,26:32:363:50
bgr_white_on_black_24px_x0_y0,cpu,24.0,bgr,#ffffffff,#000000ff,0.000:0.000,1784.123616,1733.671563,1.029101,0.01536853,0.09380825,0.01658713,255,-0.04166322,24:24:361:42,25:32:363:50
bgr_white_on_black_24px_x1of3_yhalf,cpu,24.0,bgr,#ffffffff,#000000ff,0.333:0.500,1866.192337,1740.607258,1.072150,0.00694024,0.05031215,0.01149724,249,-0.05916459,24:23:361:42,26:32:363:50
bgr_black_on_gray_24px_x0_y0,cpu,24.0,bgr,#000000ff,#e0e0e0ff,0.000:0.000,1180.770344,1234.067362,0.956812,0.01366427,0.07936884,0.01442473,224,-0.03484296,24:24:361:42,25:32:363:50
bgr_black_on_gray_24px_x1of3_yhalf,cpu,24.0,bgr,#000000ff,#e0e0e0ff,0.333:0.500,1197.392235,1231.206198,0.972536,0.00609703,0.04237333,0.01009698,202,-0.06176857,24:23:361:42,26:32:363:50
bgr_white_on_gray_24px_x0_y0,cpu,24.0,bgr,#ffffffff,#303030ff,0.000:0.000,1387.141351,1407.440439,0.985577,0.01252249,0.07617331,0.01351841,207,-0.03003843,24:24:361:42,25:32:363:50
bgr_white_on_gray_24px_x1of3_yhalf,cpu,24.0,bgr,#ffffffff,#303030ff,0.333:0.500,1433.279820,1413.041723,1.014322,0.00556913,0.03976468,0.00929450,201,-0.04570635,24:23:361:42,26:32:363:50
gray_black_on_white_24px_x0_y0,cpu,24.0,gray,#000000ff,#ffffffff,0.000:0.000,1586.886275,1376.968627,1.152449,0.00397289,0.02925531,0.00397289,94,0.00000000,24:24:361:42,26:32:362:50
gray_black_on_white_24px_x1of3_yhalf,cpu,24.0,gray,#000000ff,#ffffffff,0.333:0.500,1655.525490,1376.815686,1.202431,0.00829851,0.05343983,0.00829851,164,0.00000000,24:23:361:42,26:32:363:50
gray_white_on_black_24px_x0_y0,cpu,24.0,gray,#ffffffff,#000000ff,0.000:0.000,1788.615686,1716.549020,1.041983,0.00181591,0.01854257,0.00181591,127,0.00000000,24:24:361:42,26:32:362:50
gray_white_on_black_24px_x1of3_yhalf,cpu,24.0,gray,#ffffffff,#000000ff,0.333:0.500,1874.207843,1717.886275,1.090996,0.00709311,0.05241610,0.00709311,201,0.00000000,24:23:361:42,26:32:363:50
gray_black_on_gray_24px_x0_y0,cpu,24.0,gray,#000000ff,#e0e0e0ff,0.000:0.000,1181.490196,1209.019608,0.977230,0.00197174,0.01469364,0.00197174,67,0.00000000,24:24:361:42,26:32:362:50
gray_black_on_gray_24px_x1of3_yhalf,cpu,24.0,gray,#000000ff,#e0e0e0ff,0.333:0.500,1199.003922,1209.066667,0.991677,0.00611072,0.04297916,0.00611072,152,0.00000000,24:23:361:42,26:32:363:50
gray_white_on_gray_24px_x0_y0,cpu,24.0,gray,#ffffffff,#303030ff,0.000:0.000,1389.596078,1392.654902,0.997804,0.00126214,0.01207245,0.00126214,103,0.00000000,24:24:361:42,26:32:362:50
gray_white_on_gray_24px_x1of3_yhalf,cpu,24.0,gray,#ffffffff,#303030ff,0.333:0.500,1438.219608,1393.772549,1.031890,0.00558164,0.04084792,0.00558164,155,0.00000000,24:23:361:42,26:32:363:50
